Index,Composition,Phases present,Hardness (HVN),IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
29,AlCoCrFeNiSi0.4,BCC,,0,0,0.185,0,0,0,0.185,0.185,0,0.185,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0.074,0,0,0,0,0,0,0,0
30,AlCoCrFeNiSi0.6,BCC,,0,0,0.179,0,0,0,0.179,0.179,0,0.179,0,0,0,0,0,0,0,0,0,0,0.179,0,0,0,0.107,0,0,0,0,0,0,0,0
31,AlCoCrFeNiSi0.8,BCC + IM,,1,0,0.172,0,0,0,0.172,0.172,0,0.172,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0.138,0,0,0,0,0,0,0,0
32,AlCoCrFeNiSi,BCC,,0,0,0.167,0,0,0,0.167,0.167,0,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0.167,0,0,0,0,0,0,0,0
33,Al0.5CoCrFeNiTi,BCC + IM,,1,0,0.091,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.182,0,0,0,0,0
34,AlCoCrFeNiTi0.5,FCC,178,0,0,0.182,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
35,AlCoCrFeNiTi,BCC,,0,0,0.167,0,0,0,0.167,0.167,0,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0
36,AlCoCrFeNiTi1.5,BCC + IM,,1,0,0.154,0,0,0,0.154,0.154,0,0.154,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0.231,0,0,0,0,0
37,Al1.5CoCrFeNiTi,BCC,,0,0,0.231,0,0,0,0.154,0.154,0,0.154,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0.154,0,0,0,0,0
38,Al2.0CoCrFeNiTi,BCC,643,0,0,0.286,0,0,0,0.143,0.143,0,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.143,0,0,0,0,0
39,CoCrFeMnNi,FCC,144,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
40,CoCrFeMnNiV0.25,FCC,151,0,0,0,0,0,0,0.19,0.19,0,0.19,0,0,0,0,0,0.19,0,0,0,0,0.19,0,0,0,0,0,0,0,0.048,0,0,0,0
41,CoCrFeMnNiV0.5,FCC,186,0,0,0,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0.182,0,0,0,0,0.182,0,0,0,0,0,0,0,0.091,0,0,0,0
42,CoCrFeMnNiV0.75,FCC + IM,342,1,0,0,0,0,0,0.174,0.174,0,0.174,0,0,0,0,0,0.174,0,0,0,0,0.174,0,0,0,0,0,0,0,0.13,0,0,0,0
43,CoCrFeMnNiV,FCC + IM,650,1,0,0,0,0,0,0.167,0.167,0,0.167,0,0,0,0,0,0.167,0,0,0,0,0.167,0,0,0,0,0,0,0,0.167,0,0,0,0
44,AlCrFeNi,BCC,472,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
45,AlCrFeNiMo0.2,BCC,549,0,0,0.238,0,0,0,0,0.238,0,0.238,0,0,0,0,0,0,0.048,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0
46,AlCrFeNiMo0.5,BCC,622,0,0,0.222,0,0,0,0,0.222,0,0.222,0,0,0,0,0,0,0.111,0,0,0,0.222,0,0,0,0,0,0,0,0,0,0,0,0
47,AlCrFeNiMo0.8,BCC + IM,854,1,0,0.208,0,0,0,0,0.208,0,0.208,0,0,0,0,0,0,0.167,0,0,0,0.208,0,0,0,0,0,0,0,0,0,0,0,0
48,CoCrCuFeNi,FCC,132,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
