Index,Composition,Phases present,Hardness (HVN),IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
399,Al0.3Cr1.7FeCoNi,FCC+BCC,229,0,0,0.06,0,0,0,0.2,0.34,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
400,Al0.3Cr2.0FeCoNi,FCC+BCC,343,0,0,0.057,0,0,0,0.189,0.377,0,0.189,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0
401,CoCrFeNi,FCC,,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
402,CoCrFeNiHf0.1,FCC,,0,0,0,0,0,0,0.244,0.244,0,0.244,0,0,0.024,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0
403,CoCrFeNiHf0.2,FCC,,0,0,0,0,0,0,0.238,0.238,0,0.238,0,0,0.048,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0
404,CoCrFeNiHf0.3,FCC,,0,0,0,0,0,0,0.233,0.233,0,0.233,0,0,0.07,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
405,CoCrFeNiHf0.4,C15 Laves+FCC,,1,0,0,0,0,0,0.227,0.227,0,0.227,0,0,0.091,0,0,0,0,0,0,0,0.227,0,0,0,0,0,0,0,0,0,0,0,0
406,W35.0Ta35.0Mo10.0Nb10.0V10.0,FCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
407,W35.0Ta35.0Mo10.0Nb10.0V10.0,FCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
408,W35.0Ta35.0Mo10.0Nb10.0V10.0,FCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
409,W35.0Ta35.0Mo10.0Nb10.0V10.0,FCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
410,W35.0Ta35.0Mo10.0Nb10.0V10.0,FCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
411,AlCoCrFeNi,FCC+BCC+?,,1,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
412,AlCoCrFeNi,FCC+BCC+?,,1,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
413,AlCoCrFeNi,FCC+BCC,,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
414,AlCoCrFeNi,FCC+BCC,,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
415,AlCoCrFeNi,FCC+BCC,,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
416,CoCrFeNi,SP+FCC,173.6,1,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
417,CoCrFeNiV,FCC + ?,377.5,1,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0
418,CoCrFeNiMn,FCC,175.7,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
419,CoCrFeNiCu,FCC,152.9,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
420,CoCrFeNiZr,IM+BCC,616.5,1,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2
421,CoCrFeNiNb,IM+FCC,615.2,1,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
422,CoCrFeNiHf,IM+BCC,586.1,1,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
423,NbMoTaWV,BCC,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0
424,VNbMoTaW,BCC,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0
425,AlCoCrFeNiTi0.5,BCC,,0,0,0.182,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
426,Co25.0Ni25.0Fe25.0Al7.5Cu17.5,BCC,454,0,0,0.075,0,0,0,0.25,0,0.175,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
427,Al0.6CoNiFeTi0.4,BCC,712,0,0,0.15,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.1,0,0,0,0,0
428,AlMo0.5NbTa0.5TiZr,BCC,580,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0.2
429,HfMo0.5NbTiV0.5,BCC,403,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0.25,0.125,0,0,0,0
430,HfMo0.5NbTiV0.5Si0.7,BCC,612,0,0,0,0,0,0,0,0,0,0,0,0,0.213,0,0,0,0.106,0,0.213,0,0,0,0,0,0.149,0,0,0.213,0.106,0,0,0,0
431,Al0.6CrNbTi2.0V0.5,BCC,,0,0,0.118,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0.392,0.098,0,0,0,0
432,FeMn30.0Al10.0C1.57Cr2.3Si0.3,FCC,,0,0,0.221,0,0.035,0,0,0.051,0,0.022,0,0,0,0,0,0.664,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0
433,FeMn30.0Al10.0C1.57Cr2.3Si0.3Ti0.3,FCC,,0,0,0.22,0,0.035,0,0,0.051,0,0.022,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0.007,0,0,0.007,0,0,0,0,0
434,FeMn30.0Al10.0C1.57Cr2.3Si0.3Ti0.6,FCC,,0,0,0.218,0,0.034,0,0,0.05,0,0.022,0,0,0,0,0,0.655,0,0,0,0,0,0,0,0,0.007,0,0,0.013,0,0,0,0,0
435,FeMn30.0Al10.0C1.57Cr2.3Si0.3Ti0.9,FCC,,0,0,0.217,0,0.034,0,0,0.05,0,0.022,0,0,0,0,0,0.651,0,0,0,0,0,0,0,0,0.007,0,0,0.02,0,0,0,0,0
436,Fe49.5Mn29.7Co9.9Cr9.9C,FCC+ ?,,1,0,0,0,0.01,0,0.099,0.099,0,0.495,0,0,0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Fe49.5Mn29.7Co9.9Cr9.9C,FCC +?,,1,0,0,0,0.01,0,0.099,0.099,0,0.495,0,0,0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,Fe49.5Mn29.7Co9.9Cr9.9C,FCC +?,,1,0,0,0,0.01,0,0.099,0.099,0,0.495,0,0,0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,TaNbHfZr,FCC,367.3469,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25
440,NbMoTaW,FCC,459.1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0
441,NbMoTaWV,FCC,540.8163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0
442,HfNbTiVZr,FCC,938.7755,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2
443,ZrNbTaTiW,FCC,1173.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0.2
444,TaNbHfZr,FCC,1561.224,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25
445,Mo0.5Nb1.5Hf0.5ZrTi1.5Al0.2Cr0.2Si0.75,BCC,,0,0,0.033,0,0,0,0,0.033,0,0,0,0,0.081,0,0,0,0.081,0,0.244,0,0,0,0,0,0.122,0,0,0.244,0,0,0,0,0.163
446,Mo0.5Nb1.5Hf0.5ZrTi1.5Al0.5Cr0.5B0.3C0.05,BCC,,0,0,0.079,0.047,0.008,0,0,0.079,0,0,0,0,0.079,0,0,0,0.079,0,0.236,0,0,0,0,0,0,0,0,0.236,0,0,0,0,0.157
447,MoNb1.5Hf0.5Zr0.5Ti1.5Al0.2Cr0.2C0.2,BCC,,0,0,0.036,0,0.036,0,0,0.036,0,0,0,0,0.089,0,0,0,0.179,0,0.268,0,0,0,0,0,0,0,0,0.268,0,0,0,0,0.089
448,Mo1.5Nb1.5Hf0.3Zr0.5Ti1.5C0.2B0.1Si0.1,BCC,,0,0,0,0.018,0.035,0,0,0,0,0,0,0,0.053,0,0,0,0.263,0,0.263,0,0,0,0,0,0.018,0,0,0.263,0,0,0,0,0.088
449,MoNb1.5Hf0.3Zr0.5Ti1.5Al0.2Cr0.2C0.05B0.05Si0.05,BCC,,0,0,0.037,0.009,0.009,0,0,0.037,0,0,0,0,0.056,0,0,0,0.187,0,0.28,0,0,0,0,0,0.009,0,0,0.28,0,0,0,0,0.093
450,Ti2.0VNbMoZr,BCC,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0.167,0,0,0,0,0,0,0,0,0.333,0.167,0,0,0,0.167
451,Ti2.0VNbMoZr1.5,BCC,422.9592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0.154,0,0,0,0,0,0,0,0,0.308,0.154,0,0,0,0.231
452,Ti2.0VNbMoZr2.0,BCC,433.9796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0.143,0,0,0,0,0,0,0,0,0.286,0.143,0,0,0,0.286
453,Ti2.0VNbMoZr3.0,BCC,405.9184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0,0.25,0.125,0,0,0,0.375
454,CoCrFeNiMnAl0.3,FCC,,0,0,0.057,0,0,0,0.189,0.189,0,0.189,0,0,0,0,0,0.189,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0
455,Co0.75CrFeNiMnAl0.3,FCC+BCC,,0,0,0.059,0,0,0,0.149,0.198,0,0.198,0,0,0,0,0,0.198,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0,0
456,Co0.5CrFeNiMnAl0.3,FCC+BCC,,0,0,0.062,0,0,0,0.104,0.208,0,0.208,0,0,0,0,0,0.208,0,0,0,0,0.208,0,0,0,0,0,0,0,0,0,0,0,0
457,Co0.25CrFeNiMnAl0.3,FCC+BCC,,0,0,0.066,0,0,0,0.055,0.22,0,0.22,0,0,0,0,0,0.22,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0
458,CrFeNiMnAl0.3,FCC+BCC,,0,0,0.07,0,0,0,0,0.233,0,0.233,0,0,0,0,0,0.233,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
459,Co34.5Cr30.0Ni26.5Al5.4W3.6,FCC+?,,1,0,0.054,0,0,0,0.345,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0.036,0,0,0
460,Co34.5Cr30.0Ni26.5Al5.4W3.6,FCC+?,,1,0,0.054,0,0,0,0.345,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0.036,0,0,0
461,Co34.5Cr30.0Ni26.5Al5.4W3.6,FCC+?,,1,0,0.054,0,0,0,0.345,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0.036,0,0,0
462,Co34.5Cr30.0Ni26.5Al5.4W3.6,FCC+?,,1,0,0.054,0,0,0,0.345,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0.036,0,0,0
463,AlCoCrFeTi0.5,FCC+BCC,943.7,0,0,0.222,0,0,0,0.222,0.222,0,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0
464,AlCoCrFeTi0.5Ni,FCC+BCC,761.7,0,0,0.182,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
465,AlCoCrFeTi0.5Ni1.5,FCC+BCC,723.6,0,0,0.167,0,0,0,0.167,0.167,0,0.167,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.083,0,0,0,0,0
466,AlCoCrFeTi0.5Ni2.0,FCC+BCC,612.2,0,0,0.154,0,0,0,0.154,0.154,0,0.154,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0.077,0,0,0,0,0
467,AlCoCrFeTi0.5Ni2.5,FCC+BCC,566.1,0,0,0.143,0,0,0,0.143,0.143,0,0.143,0,0,0,0,0,0,0,0,0,0,0.357,0,0,0,0,0,0,0.071,0,0,0,0,0
468,AlCoCrFeTi0.5Ni3.0,FCC+BCC,503.2,0,0,0.133,0,0,0,0.133,0.133,0,0.133,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.067,0,0,0,0,0
469,Al0.3CoCrFeNiSi,FCC + BCC,,0,0,0.057,0,0,0,0.189,0.189,0,0.189,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0.189,0,0,0,0,0,0,0,0
470,Al0.3CoCrFeNiSi0.1,FCC + BCC,,0,0,0.068,0,0,0,0.227,0.227,0,0.227,0,0,0,0,0,0,0,0,0,0,0.227,0,0,0,0.023,0,0,0,0,0,0,0,0
471,Al0.3CoCrFeNiSi0.2,FCC + BCC,,0,0,0.067,0,0,0,0.222,0.222,0,0.222,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0.044,0,0,0,0,0,0,0,0
472,Al0.3CoCrFeNiSi0.3,FCC + BCC,,0,0,0.065,0,0,0,0.217,0.217,0,0.217,0,0,0,0,0,0,0,0,0,0,0.217,0,0,0,0.065,0,0,0,0,0,0,0,0
473,Al0.3CoCrFeNiSi0.4,FCC + BCC,,0,0,0.064,0,0,0,0.213,0.213,0,0.213,0,0,0,0,0,0,0,0,0,0,0.213,0,0,0,0.085,0,0,0,0,0,0,0,0
474,Al0.3CoCrFeNiSi0.5,FCC + BCC,,0,0,0.062,0,0,0,0.208,0.208,0,0.208,0,0,0,0,0,0,0,0,0,0,0.208,0,0,0,0.104,0,0,0,0,0,0,0,0
475,TiZrNbTa,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25
476,(TiZrNbTa)90Ti10,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0,0.225,0.1,0,0,0,0,0.225
477,(TiZrNbTa)80Ti20,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
478,(TiZrNbTa)70Ti30,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0.175,0.3,0,0,0,0,0.175
479,(TiZrNbTa)60Ti40,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.15,0.4,0,0,0,0,0.15
480,(TiZrNbTa)50Ti50,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0.5,0,0,0,0,0.125
481,(TiZrNbTa)40Ti60,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.6,0,0,0,0,0.1
482,(TiZrNbTa)30Ti70,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0.075,0.7,0,0,0,0,0.075
483,(TiZrNbTa)20Ti80,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0.8,0,0,0,0,0.05
484,(TiZrNbTa)10Ti90,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.025,0.9,0,0,0,0,0.025
485,TaTiNb,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0.333,0.333,0,0,0,0,0
486,TaTiNb,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0.333,0.333,0,0,0,0,0
487,TaTiNb,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0.333,0.333,0,0,0,0,0
488,TaTiNb,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0.333,0.333,0,0,0,0,0
489,TaTiNbZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25
490,TaTiNbZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25
491,TaTiNbZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25
492,TaTiNbZr,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25
493,TaTiNbZrMo,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
494,TaTiNbZrMo,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
495,TaTiNbZrMo,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
496,TaTiNbZrMo,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
497,TaTiNbZrW,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0.2
498,TaTiNbZrW,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0.2
499,TaTiNbZrW,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0.2
500,TaTiNbZrW,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0.2
501,W35.0Ta35.0Mo10.0Nb10.0V10.0,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
502,W35.0Ta35.0Mo10.0Nb10.0V10.0,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
503,W35.0Ta35.0Mo10.0Nb10.0V10.0,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
504,W35.0Ta35.0Mo10.0Nb10.0V10.0,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
505,W35.0Ta35.0Mo10.0Nb10.0V10.0,BCC,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
506,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
507,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
508,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
509,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
510,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
511,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
512,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
513,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
514,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
515,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
516,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
517,AlCoCrFeNi2.1,FCC + BCC,,0,0,0.164,0,0,0,0.164,0.164,0,0.164,0,0,0,0,0,0,0,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0
518,CoCrFeNiAl0.2,FCC,263,0,0,0.048,0,0,0,0.238,0.238,0,0.238,0,0,0,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0
519,CoCrFeNiAl0.2(TiC)0.06,FCC,409,0,0,0.047,0,0.007,0,0.235,0.235,0,0.235,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0.007,0,0,0,0,0
520,CoCrFeNiAl0.2(TiC)0.12,FCC,576,0,0,0.046,0,0.014,0,0.231,0.231,0,0.231,0,0,0,0,0,0,0,0,0,0,0.231,0,0,0,0,0,0,0.014,0,0,0,0,0
521,CoCrFeNiAl0.2(TiC)0.2,FCC,1183,0,0,0.045,0,0.023,0,0.227,0.227,0,0.227,0,0,0,0,0,0,0,0,0,0,0.227,0,0,0,0,0,0,0.023,0,0,0,0,0
522,AlCuFeMnTiV,FCC,597.81,0,0,0.167,0,0,0,0,0,0.167,0.167,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0
523,AlCuFeMnTiV,FCC,610.28,0,0,0.167,0,0,0,0,0,0.167,0.167,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0
524,AlCuFeMnTiV,FCC,618.44,0,0,0.167,0,0,0,0,0,0.167,0.167,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0
525,AlCuFeMnTiV,FCC,596.12,0,0,0.167,0,0,0,0,0,0.167,0.167,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0
526,Al35.0Mg25.0Zn30.0Cu5.0Si5.0,FCC+Mg2Si,,1,0,0.35,0,0,0,0,0,0.05,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.3,0
527,Al35.0Mg20.0Zn30.0Cu5.0Si10.0,FCC+Mg2Si,,1,0,0.35,0,0,0,0,0,0.05,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0
528,Al35.0Mg15.0Zn30.0Cu5.0Si15.0,FCC+Mg2Si,,1,0,0.35,0,0,0,0,0,0.05,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.3,0
529,(CoCrFeNi)99(WMo)1,matrix+? phase,,1,0,0,0,0,0,0.247,0.247,0,0.247,0,0,0,0,0,0,0.005,0,0,0,0.247,0,0,0,0,0,0,0,0,0.005,0,0,0
530,(CoCrFeNi)97(WMo)3,matrix+? phase,,1,0,0,0,0,0,0.242,0.242,0,0.242,0,0,0,0,0,0,0.015,0,0,0,0.242,0,0,0,0,0,0,0,0,0.015,0,0,0
531,(CoCrFeNi)95(WMo)5,matrix+? phase,,1,0,0,0,0,0,0.237,0.237,0,0.237,0,0,0,0,0,0,0.025,0,0,0,0.237,0,0,0,0,0,0,0,0,0.025,0,0,0
